TeamID,TeamName,LR,Rank,Undecided
1211,Gonzaga ,L,1,
1313,Norfolk State ,L,16,TH
1111,Appalachian State ,L,16,TH
1328,Oklahoma,L,8,
1279,Missouri ,L,9,
1166,Creighton ,L,5,
1364,UC Santa Barbara,L,12,
1438,Virginia,L,4,
1325,Ohio ,L,13,
1425,USC ,L,6,
1455,Wichita State ,L,11,TH
1179,Drake,L,11,TH
1242,Kansas ,L,3,
1186,Eastern Washington ,L,14,
1332,Oregon,L,7,
1433,VCU Rams,L,10,
1234,Iowa,L,2,
1213,Grand Canyon ,L,15,
1124,Baylor ,R,1,
1216,Hartford,R,16,
1314,North Carolina,R,8,
1458,Wisconsin,R,9,
1437,Villanova,R,5,
1457,Winthrop,R,12,
1345,Purdue,R,4,
1317,North Texas,R,13,
1403,Texas Tech ,R,6,
1429,Utah State,R,11,
1116,Arkansas,R,3,
1159,Colgate,R,14,
1196,Florida ,R,7,
1439,Virginia Tech ,R,10,
1325,Ohio State,R,2,
1331,Oral Roberts ,R,15,
1228,Illinois ,R,1,
1180,Drexel ,R,16,
1260,Loyola Chicago,R,8,
1210,Georgia Tech ,R,9,
1397,Tennessee ,R,5,
1333,Oregon State ,R,12,
1329,Oklahoma State ,R,4,
1251,Liberty ,R,13,
1361,San Diego State ,R,6,
1393,Syracuse ,R,11,
1452,West Virginia ,R,3,
1287,Morehead State,R,14,
1155,Clemson ,R,7,
1353,Rutgers,R,10,
1222,Houston,R,2,
1156,Cleveland State,R,15,
1276,Michigan ,L,1,
1291,Mount St. Mary's ,L,16,TH
1411,Texas Southern ,L,16,TH
1261,LSU ,L,8,
1382,St. Bonaventure ,L,9,
1160,Colorado ,L,5,
1207,Georgetown ,L,12,
1199,Florida State,L,4,
1422,UNC Greensboro ,L,13,
1140,BYU ,L,6,
1417,UCLA ,L,11,TH
1277,Michigan State,L,11,TH
1400,Texas ,L,3,
1101,Abilene Christian,L,14,
1165,Uconn,L,7,
1256,Maryland ,L,10,
1104,Alabama ,L,2,
1233,Iona,L,15,
,,,,
